date,values
2024-02-11,55
2024-02-12,62
2024-02-13,69
2024-02-14,79
2024-02-15,73
2024-02-16,79
2024-02-17,90
2024-02-18,86
2024-02-19,65
2024-02-20,43
2024-02-21,48
2024-02-22,71
2024-02-23,69
2024-02-24,72
2024-02-25,95
2024-02-26,100
2024-02-27,94
2024-02-28,77
2024-02-29,80
2024-03-01,63
2024-03-02,54
2024-03-03,46
2024-03-04,49
2024-03-05,73
2024-03-06,74
2024-03-07,57
2024-03-08,71
2024-03-09,79
2024-03-10,102
2024-03-11,90
2024-03-12,77
2024-03-13,60
2024-03-14,59
2024-03-15,63
2024-03-16,72
2024-03-17,84
2024-03-18,79
2024-03-19,81
2024-03-20,101
2024-03-21,99
2024-03-22,105
2024-03-23,87
2024-03-24,38
2024-03-25,45
2024-03-26,60
2024-03-27,69
2024-03-28,80
2024-03-29,72
2024-03-30,45
2024-03-31,40
2024-04-01,57
2024-04-02,66
2024-04-03,82
2024-04-04,74
2024-04-05,44
2024-04-06,53
2024-04-07,73
2024-04-08,74
2024-04-09,57
2024-04-10,67
2024-04-11,95
2024-04-12,79
2024-04-13,67
2024-04-14,46
2024-04-15,51
2024-04-16,68
2024-04-17,128
2024-04-18,88
2024-04-19,75
2024-04-20,77
2024-04-21,70
2024-04-22,75
2024-04-23,64
2024-04-24,55
2024-04-25,45
2024-04-26,37
2024-04-27,51
2024-04-28,67
2024-04-29,107
2024-04-30,116
2024-05-01,74
2024-05-02,92
2024-05-03,84
2024-05-04,67
2024-05-05,55
2024-05-06,51
2024-05-07,88
2024-05-08,75
2024-05-09,62
2024-05-10,61
2024-05-11,65
2024-05-12,62
2024-05-13,61
2024-05-14,65
2024-05-15,63
2024-05-16,64
2024-05-17,57
2024-05-18,42
2024-05-19,41
2024-05-20,55
2024-05-21,59
2024-05-22,66
2024-05-23,69
2024-05-24,61
2024-05-25,50
2024-05-26,52
2024-05-27,54
2024-05-28,54
2024-05-29,60
2024-05-30,61
2024-05-31,59
2024-06-01,56
2024-06-02,59
2024-06-03,63
2024-06-04,63
2024-06-05,57
2024-06-06,59
2024-06-07,59
2024-06-08,54
2024-06-09,50
2024-06-10,55
2024-06-11,55
2024-06-12,57
2024-06-13,53
2024-06-14,53
2024-06-15,63
2024-06-16,97
2024-06-17,73
2024-06-18,81
2024-06-19,66
2024-06-20,64
2024-06-21,65
2024-06-22,67
2024-06-23,67
2024-06-24,59
2024-06-25,59
2024-06-26,53
2024-06-27,52
2024-06-28,53
2024-06-29,52
2024-06-30,56
2024-07-01,130
2024-07-02,77
2024-07-03,91
2024-07-04,61
2024-07-05,59
2024-07-06,66
2024-07-07,67
2024-07-08,70
2024-07-09,91
2024-07-10,87
2024-07-11,61
2024-07-12,66
2024-07-13,66
2024-07-14,66
2024-07-15,64
2024-07-16,50
2024-07-17,51
2024-07-18,53
