date,values
2015-09-22,163.8566131591797
2015-09-23,163.59466552734375
2015-09-24,163.00315856933594
2015-09-25,162.9609375
2015-09-28,158.87103271484375
2015-09-29,158.96400451660156
2015-09-30,161.9300079345703
2015-10-01,162.3525390625
2015-10-02,164.77767944335938
2015-10-05,167.70985412597656
2015-10-06,167.1352996826172
2015-10-07,168.5041961669922
2015-10-08,170.0251922607422
2015-10-09,170.1265869140625
2015-10-12,170.2871551513672
2015-10-13,169.21400451660156
2015-10-14,168.4027862548828
2015-10-15,170.9885711669922
2015-10-16,171.76593017578125
2015-10-19,171.85043334960938
2015-10-20,171.63075256347656
2015-10-21,170.56605529785156
2015-10-22,173.44757080078125
2015-10-23,175.3488006591797
2015-10-26,174.91786193847656
2015-10-27,174.57986450195312
2015-10-28,176.5656280517578
